,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
794,0 days 01:01:44.114000,ALB,23,0 days 00:01:43.888000,1.0,1.0,,,,0 days 00:00:44.007000,0 days 00:00:24.378000,,0 days 01:01:19.858000,0 days 01:01:44.156000,215.0,245.0,280.0,260.0,False,SOFT,1.0,True,Williams,0 days 00:59:59.911000,2024-03-02 15:03:42.342,2,11.0,False,,False,False
795,0 days 01:03:22.940000,ALB,23,0 days 00:01:38.826000,2.0,1.0,,,0 days 00:00:31.419000,0 days 00:00:43.106000,0 days 00:00:24.301000,0 days 01:02:15.526000,0 days 01:02:58.632000,0 days 01:03:22.933000,229.0,245.0,286.0,295.0,True,SOFT,2.0,True,Williams,0 days 01:01:44.114000,2024-03-02 15:05:26.545,1,11.0,False,,False,True
796,0 days 01:05:01.447000,ALB,23,0 days 00:01:38.507000,3.0,1.0,,,0 days 00:00:31.002000,0 days 00:00:43.081000,0 days 00:00:24.424000,0 days 01:03:53.935000,0 days 01:04:37.016000,0 days 01:05:01.440000,,244.0,286.0,312.0,True,SOFT,3.0,True,Williams,0 days 01:03:22.940000,2024-03-02 15:07:05.371,1,11.0,False,,False,True
797,0 days 01:06:39.869000,ALB,23,0 days 00:01:38.422000,4.0,1.0,,,0 days 00:00:31.023000,0 days 00:00:43.007000,0 days 00:00:24.392000,0 days 01:05:32.463000,0 days 01:06:15.470000,0 days 01:06:39.862000,226.0,244.0,284.0,319.0,True,SOFT,4.0,True,Williams,0 days 01:05:01.447000,2024-03-02 15:08:43.878,1,11.0,False,,False,True
798,0 days 01:08:18.378000,ALB,23,0 days 00:01:38.509000,5.0,1.0,,,0 days 00:00:31.049000,0 days 00:00:43.027000,0 days 00:00:24.433000,0 days 01:07:10.911000,0 days 01:07:53.938000,0 days 01:08:18.371000,228.0,245.0,284.0,310.0,False,SOFT,5.0,True,Williams,0 days 01:06:39.869000,2024-03-02 15:10:22.300,1,11.0,False,,False,True
799,0 days 01:09:56.953000,ALB,23,0 days 00:01:38.575000,6.0,1.0,,,0 days 00:00:31.034000,0 days 00:00:43.141000,0 days 00:00:24.400000,0 days 01:08:49.405000,0 days 01:09:32.546000,0 days 01:09:56.946000,227.0,238.0,280.0,316.0,False,SOFT,6.0,True,Williams,0 days 01:08:18.378000,2024-03-02 15:12:00.809,1,11.0,False,,False,True
800,0 days 01:11:35.924000,ALB,23,0 days 00:01:38.971000,7.0,1.0,,,0 days 00:00:31.498000,0 days 00:00:43.186000,0 days 00:00:24.287000,0 days 01:10:28.444000,0 days 01:11:11.630000,0 days 01:11:35.917000,228.0,243.0,278.0,302.0,False,SOFT,7.0,True,Williams,0 days 01:09:56.953000,2024-03-02 15:13:39.384,1,11.0,False,,False,True
801,0 days 01:13:14.584000,ALB,23,0 days 00:01:38.660000,8.0,1.0,,,0 days 00:00:31.493000,0 days 00:00:42.899000,0 days 00:00:24.268000,0 days 01:12:07.410000,0 days 01:12:50.309000,0 days 01:13:14.577000,232.0,245.0,278.0,293.0,False,SOFT,8.0,True,Williams,0 days 01:11:35.924000,2024-03-02 15:15:18.355,1,11.0,False,,False,True
802,0 days 01:14:53.236000,ALB,23,0 days 00:01:38.652000,9.0,1.0,,,0 days 00:00:31.458000,0 days 00:00:42.976000,0 days 00:00:24.218000,0 days 01:13:46.035000,0 days 01:14:29.011000,0 days 01:14:53.229000,,244.0,279.0,298.0,False,SOFT,9.0,True,Williams,0 days 01:13:14.584000,2024-03-02 15:16:57.015,1,11.0,False,,False,True
803,0 days 01:16:32.188000,ALB,23,0 days 00:01:38.952000,10.0,1.0,,,0 days 00:00:31.624000,0 days 00:00:42.955000,0 days 00:00:24.373000,0 days 01:15:24.853000,0 days 01:16:07.808000,0 days 01:16:32.181000,226.0,248.0,278.0,295.0,False,SOFT,10.0,True,Williams,0 days 01:14:53.236000,2024-03-02 15:18:35.667,2,11.0,False,,False,True
804,0 days 01:18:11.023000,ALB,23,0 days 00:01:38.835000,11.0,1.0,,,0 days 00:00:31.490000,0 days 00:00:42.923000,0 days 00:00:24.422000,0 days 01:17:03.671000,0 days 01:17:46.594000,0 days 01:18:11.016000,230.0,244.0,278.0,297.0,False,SOFT,11.0,True,Williams,0 days 01:16:32.188000,2024-03-02 15:20:14.619,1,11.0,False,,False,True
