,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1074,0 days 01:01:46.147000,SAR,2,0 days 00:01:45.921000,1.0,1.0,,,,0 days 00:00:43.162000,0 days 00:00:24.178000,,0 days 01:01:22.081000,0 days 01:01:46.307000,230.0,249.0,285.0,231.0,False,SOFT,1.0,True,Williams,0 days 00:59:59.911000,2024-03-02 15:03:42.342,2,15.0,False,,False,False
1075,0 days 01:03:24.628000,SAR,2,0 days 00:01:38.481000,2.0,1.0,,,0 days 00:00:31.096000,0 days 00:00:43.005000,0 days 00:00:24.380000,0 days 01:02:17.246000,0 days 01:03:00.251000,0 days 01:03:24.631000,231.0,248.0,282.0,308.0,True,SOFT,2.0,True,Williams,0 days 01:01:46.147000,2024-03-02 15:05:28.578,1,14.0,False,,False,True
1076,0 days 01:05:03.335000,SAR,2,0 days 00:01:38.707000,3.0,1.0,,,0 days 00:00:31.105000,0 days 00:00:43.155000,0 days 00:00:24.447000,0 days 01:03:55.736000,0 days 01:04:38.891000,0 days 01:05:03.338000,229.0,245.0,285.0,,False,SOFT,3.0,True,Williams,0 days 01:03:24.628000,2024-03-02 15:07:07.059,1,14.0,False,,False,True
1077,0 days 01:06:41.725000,SAR,2,0 days 00:01:38.390000,4.0,1.0,,,0 days 00:00:31.044000,0 days 00:00:42.904000,0 days 00:00:24.442000,0 days 01:05:34.382000,0 days 01:06:17.286000,0 days 01:06:41.728000,228.0,249.0,283.0,309.0,True,SOFT,4.0,True,Williams,0 days 01:05:03.335000,2024-03-02 15:08:45.766,1,14.0,False,,False,True
1078,0 days 01:08:20.482000,SAR,2,0 days 00:01:38.757000,5.0,1.0,,,0 days 00:00:31.048000,0 days 00:00:43.209000,0 days 00:00:24.500000,0 days 01:07:12.776000,0 days 01:07:55.985000,0 days 01:08:20.485000,227.0,248.0,281.0,312.0,False,SOFT,5.0,True,Williams,0 days 01:06:41.725000,2024-03-02 15:10:24.156,1,14.0,False,,False,True
1079,0 days 01:09:59.064000,SAR,2,0 days 00:01:38.582000,6.0,1.0,,,0 days 00:00:31.037000,0 days 00:00:42.981000,0 days 00:00:24.564000,0 days 01:08:51.522000,0 days 01:09:34.503000,0 days 01:09:59.067000,,251.0,282.0,308.0,False,SOFT,6.0,True,Williams,0 days 01:08:20.482000,2024-03-02 15:12:02.913,1,14.0,False,,False,True
1080,0 days 01:11:38.528000,SAR,2,0 days 00:01:39.464000,7.0,1.0,,,0 days 00:00:31.373000,0 days 00:00:43.491000,0 days 00:00:24.600000,0 days 01:10:30.440000,0 days 01:11:13.931000,0 days 01:11:38.531000,,251.0,281.0,313.0,False,SOFT,7.0,True,Williams,0 days 01:09:59.064000,2024-03-02 15:13:41.495,1,14.0,False,,False,True
1081,0 days 01:13:18.108000,SAR,2,0 days 00:01:39.580000,8.0,1.0,,,0 days 00:00:31.566000,0 days 00:00:43.336000,0 days 00:00:24.678000,0 days 01:12:10.097000,0 days 01:12:53.433000,0 days 01:13:18.111000,,252.0,280.0,,False,SOFT,8.0,True,Williams,0 days 01:11:38.528000,2024-03-02 15:15:20.959,1,14.0,False,,False,True
1082,0 days 01:14:57.474000,SAR,2,0 days 00:01:39.366000,9.0,1.0,,,0 days 00:00:31.398000,0 days 00:00:43.299000,0 days 00:00:24.669000,0 days 01:13:49.509000,0 days 01:14:32.808000,0 days 01:14:57.477000,228.0,252.0,277.0,310.0,False,SOFT,9.0,True,Williams,0 days 01:13:18.108000,2024-03-02 15:17:00.539,1,13.0,False,,False,True
1083,0 days 01:17:39.325000,SAR,2,,10.0,1.0,,0 days 01:17:37.577000,0 days 00:01:23.300000,0 days 00:00:46.732000,0 days 00:00:31.828000,0 days 01:16:20.849000,0 days 01:17:07.500000,0 days 01:17:39.505000,208.0,195.0,,293.0,False,SOFT,10.0,True,Williams,0 days 01:14:57.474000,2024-03-02 15:18:39.905,2,20.0,False,,False,False
1084,0 days 01:19:51.763000,SAR,2,0 days 00:02:12.438000,11.0,2.0,0 days 01:18:13.302000,,0 days 00:01:04.866000,0 days 00:00:42.959000,0 days 00:00:24.613000,0 days 01:18:44.194000,0 days 01:19:27.153000,0 days 01:19:51.766000,225.0,253.0,244.0,203.0,False,HARD,1.0,True,Williams,0 days 01:17:39.325000,2024-03-02 15:21:21.756,1,20.0,False,,False,False
1085,0 days 01:21:30.256000,SAR,2,0 days 00:01:38.493000,12.0,2.0,,,0 days 00:00:31.666000,0 days 00:00:42.766000,0 days 00:00:24.061000,0 days 01:20:23.432000,0 days 01:21:06.198000,0 days 01:21:30.259000,233.0,255.0,278.0,297.0,False,HARD,2.0,True,Williams,0 days 01:19:51.763000,2024-03-02 15:23:34.194,1,20.0,False,,False,True
1086,0 days 01:23:11.245000,SAR,2,0 days 00:01:40.989000,13.0,2.0,,,0 days 00:00:31.427000,0 days 00:00:43.601000,0 days 00:00:25.961000,0 days 01:22:01.686000,0 days 01:22:45.287000,0 days 01:23:11.248000,231.0,253.0,249.0,298.0,False,HARD,3.0,True,Williams,0 days 01:21:30.256000,2024-03-02 15:25:12.687,1,20.0,False,,False,True
1087,0 days 01:24:52.715000,SAR,2,0 days 00:01:41.470000,14.0,2.0,,,0 days 00:00:34.301000,0 days 00:00:43.043000,0 days 00:00:24.126000,0 days 01:23:45.549000,0 days 01:24:28.592000,0 days 01:24:52.718000,215.0,258.0,279.0,255.0,False,HARD,4.0,True,Williams,0 days 01:23:11.245000,2024-03-02 15:26:53.676,1,20.0,False,,False,True
1088,0 days 01:26:30.309000,SAR,2,0 days 00:01:37.594000,15.0,2.0,,,0 days 00:00:31.044000,0 days 00:00:42.414000,0 days 00:00:24.136000,0 days 01:25:23.762000,0 days 01:26:06.176000,0 days 01:26:30.312000,228.0,259.0,279.0,303.0,True,HARD,5.0,True,Williams,0 days 01:24:52.715000,2024-03-02 15:28:35.146,1,20.0,False,,False,True
1089,0 days 01:28:11.679000,SAR,2,0 days 00:01:41.370000,16.0,2.0,,,0 days 00:00:34.383000,0 days 00:00:42.896000,0 days 00:00:24.091000,0 days 01:27:04.695000,0 days 01:27:47.591000,0 days 01:28:11.682000,232.0,256.0,279.0,227.0,False,HARD,6.0,True,Williams,0 days 01:26:30.309000,2024-03-02 15:30:12.740,1,20.0,False,,False,True
1090,0 days 01:29:51.437000,SAR,2,0 days 00:01:39.758000,17.0,2.0,,,0 days 00:00:31.181000,0 days 00:00:42.770000,0 days 00:00:25.807000,0 days 01:28:42.863000,0 days 01:29:25.633000,0 days 01:29:51.440000,230.0,256.0,281.0,294.0,False,HARD,7.0,True,Williams,0 days 01:28:11.679000,2024-03-02 15:31:54.110,1,20.0,False,,False,True
1091,0 days 01:31:29.514000,SAR,2,0 days 00:01:38.077000,18.0,2.0,,,0 days 00:00:31.257000,0 days 00:00:42.709000,0 days 00:00:24.111000,0 days 01:30:22.697000,0 days 01:31:05.406000,0 days 01:31:29.517000,232.0,260.0,279.0,291.0,False,HARD,8.0,True,Williams,0 days 01:29:51.437000,2024-03-02 15:33:33.868,1,20.0,False,,False,True
1092,0 days 01:33:07.256000,SAR,2,0 days 00:01:37.742000,19.0,2.0,,,0 days 00:00:31.201000,0 days 00:00:42.532000,0 days 00:00:24.009000,0 days 01:32:00.718000,0 days 01:32:43.250000,0 days 01:33:07.259000,,259.0,279.0,295.0,False,HARD,9.0,True,Williams,0 days 01:31:29.514000,2024-03-02 15:35:11.945,1,20.0,False,,False,True
1093,0 days 01:34:45.076000,SAR,2,0 days 00:01:37.820000,20.0,2.0,,,0 days 00:00:31.110000,0 days 00:00:42.663000,0 days 00:00:24.047000,0 days 01:33:38.369000,0 days 01:34:21.032000,0 days 01:34:45.079000,231.0,256.0,279.0,297.0,False,HARD,10.0,True,Williams,0 days 01:33:07.256000,2024-03-02 15:36:49.687,1,20.0,False,,False,True
