,Date,Status,X,Y,Z,Source,Time,SessionTime
0,2024-03-02 14:03:43.899,OnTrack,0,0,0,pos,0 days 00:00:01.468000,0 days 00:00:01.468000
1,2024-03-02 14:03:44.219,OnTrack,0,0,0,pos,0 days 00:00:01.788000,0 days 00:00:01.788000
2,2024-03-02 14:03:44.460,OnTrack,0,0,0,pos,0 days 00:00:02.029000,0 days 00:00:02.029000
3,2024-03-02 14:03:44.720,OnTrack,0,0,0,pos,0 days 00:00:02.289000,0 days 00:00:02.289000
4,2024-03-02 14:03:45.000,OnTrack,0,0,0,pos,0 days 00:00:02.569000,0 days 00:00:02.569000
5,2024-03-02 14:03:45.220,OnTrack,0,0,0,pos,0 days 00:00:02.789000,0 days 00:00:02.789000
6,2024-03-02 14:03:45.540,OnTrack,0,0,0,pos,0 days 00:00:03.109000,0 days 00:00:03.109000
7,2024-03-02 14:03:45.640,OnTrack,0,0,0,pos,0 days 00:00:03.209000,0 days 00:00:03.209000
8,2024-03-02 14:03:45.900,OnTrack,0,0,0,pos,0 days 00:00:03.469000,0 days 00:00:03.469000
9,2024-03-02 14:03:46.080,OnTrack,0,0,0,pos,0 days 00:00:03.649000,0 days 00:00:03.649000
10,2024-03-02 14:03:46.500,OnTrack,0,0,0,pos,0 days 00:00:04.069000,0 days 00:00:04.069000
11,2024-03-02 14:03:46.720,OnTrack,0,0,0,pos,0 days 00:00:04.289000,0 days 00:00:04.289000
12,2024-03-02 14:03:46.920,OnTrack,0,0,0,pos,0 days 00:00:04.489000,0 days 00:00:04.489000
13,2024-03-02 14:03:47.160,OnTrack,0,0,0,pos,0 days 00:00:04.729000,0 days 00:00:04.729000
14,2024-03-02 14:03:47.580,OnTrack,0,0,0,pos,0 days 00:00:05.149000,0 days 00:00:05.149000
15,2024-03-02 14:03:47.680,OnTrack,0,0,0,pos,0 days 00:00:05.249000,0 days 00:00:05.249000
16,2024-03-02 14:03:47.940,OnTrack,0,0,0,pos,0 days 00:00:05.509000,0 days 00:00:05.509000
17,2024-03-02 14:03:48.200,OnTrack,0,0,0,pos,0 days 00:00:05.769000,0 days 00:00:05.769000
18,2024-03-02 14:03:48.420,OnTrack,0,0,0,pos,0 days 00:00:05.989000,0 days 00:00:05.989000
19,2024-03-02 14:03:48.600,OnTrack,0,0,0,pos,0 days 00:00:06.169000,0 days 00:00:06.169000
20,2024-03-02 14:03:48.820,OnTrack,0,0,0,pos,0 days 00:00:06.389000,0 days 00:00:06.389000
21,2024-03-02 14:03:49.020,OnTrack,0,0,0,pos,0 days 00:00:06.589000,0 days 00:00:06.589000
